text,label
My order was wrong AND late. Unacceptable.,negative
It’s cloudy today.,neutral
Going for a walk now.,neutral
Traffic jam for 2 hours. Ridiculous. 😡,negative
Laptop crashed and lost my files. FML.,negative
Service at the cafe was terrible. Never going back.,negative
Vacation starts now. So excited! #blessed,positive
Just finished watching the movie.,neutral
"It's a normal day, nothing much happening.",neutral
"Ugh, missed the bus again. This day sucks. 😤",negative
Sunsets and good vibes. Perfect evening.,positive
Worst customer experience ever.,negative
Just charging my phone.,neutral
Totally regret this purchase. Waste of money.,negative
The food here is absolutely amazing. Highly recommend!,positive
Feeling grateful for all the love and support. ❤️,positive
Finally finished my project! Super proud. 🙌,positive
Vacation starts now. So excited! #blessed,positive
Worst customer experience ever.,negative
Finally finished my project! Super proud. 🙌,positive
Laptop crashed and lost my files. FML.,negative
Woke up with a headache and things just got worse.,negative
Can’t believe how rude some people are. #disappointed,negative
Listening to my favorite album on repeat. 🎶,positive
My order was wrong AND late. Unacceptable.,negative
Service at the cafe was terrible. Never going back.,negative
Sunsets and good vibes. Perfect evening.,positive
The food here is absolutely amazing. Highly recommend!,positive
Listening to my favorite album on repeat. 🎶,positive
Can’t believe how rude some people are. #disappointed,negative
"Ugh, missed the bus again. This day sucks. 😤",negative
Just charging my phone.,neutral
Had rice and curry for lunch.,neutral
Just charging my phone.,neutral
Traffic jam for 2 hours. Ridiculous. 😡,negative
It’s cloudy today.,neutral
Woke up with a headache and things just got worse.,negative
Sunsets and good vibes. Perfect evening.,positive
The food here is absolutely amazing. Highly recommend!,positive
Just finished watching the movie.,neutral
Time to make dinner.,neutral
Worst customer experience ever.,negative
Traffic jam for 2 hours. Ridiculous. 😡,negative
Service at the cafe was terrible. Never going back.,negative
Service at the cafe was terrible. Never going back.,negative
Just got promoted today! Life is good. 😊,positive
Listening to my favorite album on repeat. 🎶,positive
Service at the cafe was terrible. Never going back.,negative
Feeling grateful for all the love and support. ❤️,positive
I’ll probably sleep early tonight.,neutral
I’ll probably sleep early tonight.,neutral
Sunsets and good vibes. Perfect evening.,positive
Had the best time with friends tonight. #memories,positive
The food here is absolutely amazing. Highly recommend!,positive
Can’t stop smiling today. Everything’s going right!,positive
My package arrived early. Great service!,positive
I’ll probably sleep early tonight.,neutral
Finally finished my project! Super proud. 🙌,positive
Totally regret this purchase. Waste of money.,negative
Can’t stop smiling today. Everything’s going right!,positive
Going for a walk now.,neutral
Woke up with a headache and things just got worse.,negative
"It's a normal day, nothing much happening.",neutral
Just got promoted today! Life is good. 😊,positive
The food here is absolutely amazing. Highly recommend!,positive
Worst customer experience ever.,negative
"Ugh, missed the bus again. This day sucks. 😤",negative
Totally regret this purchase. Waste of money.,negative
Can’t believe how rude some people are. #disappointed,negative
Listening to my favorite album on repeat. 🎶,positive
Totally regret this purchase. Waste of money.,negative
Service at the cafe was terrible. Never going back.,negative
It’s cloudy today.,neutral
The app keeps crashing. So frustrating!,negative
Time to make dinner.,neutral
"It's a normal day, nothing much happening.",neutral
Sunsets and good vibes. Perfect evening.,positive
Service at the cafe was terrible. Never going back.,negative
Just charging my phone.,neutral
Just got promoted today! Life is good. 😊,positive
The food here is absolutely amazing. Highly recommend!,positive
Can’t stop smiling today. Everything’s going right!,positive
Totally regret this purchase. Waste of money.,negative
My order was wrong AND late. Unacceptable.,negative
Finally finished my project! Super proud. 🙌,positive
Just finished watching the movie.,neutral
It’s cloudy today.,neutral
Traffic jam for 2 hours. Ridiculous. 😡,negative
Traffic jam for 2 hours. Ridiculous. 😡,negative
Traffic jam for 2 hours. Ridiculous. 😡,negative
Attended a meeting in the afternoon.,neutral
Had rice and curry for lunch.,neutral
Finally finished my project! Super proud. 🙌,positive
Had rice and curry for lunch.,neutral
Had the best time with friends tonight. #memories,positive
Time to make dinner.,neutral
Time to make dinner.,neutral
Had the best time with friends tonight. #memories,positive
Working on a few things at the moment.,neutral
Time to make dinner.,neutral
Attended a meeting in the afternoon.,neutral
Finally finished my project! Super proud. 🙌,positive
Listening to my favorite album on repeat. 🎶,positive
Just got promoted today! Life is good. 😊,positive
"It's a normal day, nothing much happening.",neutral
Just got promoted today! Life is good. 😊,positive
Can’t believe how rude some people are. #disappointed,negative
Can’t believe how rude some people are. #disappointed,negative
"It's a normal day, nothing much happening.",neutral
Attended a meeting in the afternoon.,neutral
The food here is absolutely amazing. Highly recommend!,positive
Just got promoted today! Life is good. 😊,positive
My package arrived early. Great service!,positive
Can’t stop smiling today. Everything’s going right!,positive
Woke up with a headache and things just got worse.,negative
